otu-12:m48n729-s522,otu-12:m22n729-s522,265
otu-14:m48n729-s522,otu-14:m22n729-s522,282
otu-17:m48n729-s522,otu-17:m22n729-s522,202
otu-18:m48n729-s522,otu-18:m22n729-s522,126
otu-19:m48n729-s522,otu-19:m22n729-s522,187
otu-20:m48n729-s522,otu-20:m22n729-s522,188
otu-21:m48n729-s522,otu-21:m22n729-s522,159
otu-25:m48n729-s522,otu-25:m22n729-s522,130
otu-26:m48n729-s522,otu-26:m22n729-s522,123
otu-27:m48n729-s522,otu-27:m22n729-s522,77
otu-28:m48n729-s522,otu-28:m22n729-s522,61
otu-30:m22n729-s522,otu-30:m22n729-s522,17
otu-0:m48n729-s521,otu-0:m48n729-s521,2490
otu-1:m22n729-s520,otu-1:m48n729-s521,465
otu-3:m48n729-s522,otu-3:m48n729-s521,210
otu-4:m22n729-s520,otu-4:m48n729-s521,287
otu-5:m48n729-s521,otu-5:m48n729-s521,544
otu-6:m48n729-s521,otu-6:m48n729-s521,650
otu-7:m22n729-s520,otu-7:m48n729-s521,306
otu-10:m48n729-s522,otu-10:m48n729-s521,144
otu-11:m48n729-s522,otu-11:m48n729-s521,114
otu-12:m48n729-s522,otu-12:m48n729-s521,66
otu-13:m48n729-s521,otu-13:m48n729-s521,274
otu-15:m48n729-s520,otu-15:m48n729-s521,118
otu-16:m48n729-s521,otu-16:m48n729-s521,177
otu-18:m48n729-s522,otu-18:m48n729-s521,145
otu-22:m48n729-s521,otu-22:m48n729-s521,141
otu-23:m48n729-s521,otu-23:m48n729-s521,131
otu-24:m48n729-s521,otu-24:m48n729-s521,160
otu-25:m48n729-s522,otu-25:m48n729-s521,41
otu-29:m22n729-s520,otu-29:m48n729-s521,20
otu-31:m48n729-s521,otu-31:m48n729-s521,38
otu-2:m48n729-s522,otu-2:m48n729-s522,1340
otu-3:m48n729-s522,otu-3:m48n729-s522,705
otu-4:m22n729-s520,otu-4:m48n729-s522,242
otu-8:m48n729-s522,otu-8:m48n729-s522,781
otu-9:m48n729-s522,otu-9:m48n729-s522,705
otu-10:m48n729-s522,otu-10:m48n729-s522,231
otu-11:m48n729-s522,otu-11:m48n729-s522,303
otu-12:m48n729-s522,otu-12:m48n729-s522,383
otu-14:m48n729-s522,otu-14:m48n729-s522,419
otu-17:m48n729-s522,otu-17:m48n729-s522,311
otu-18:m48n729-s522,otu-18:m48n729-s522,270
otu-19:m48n729-s522,otu-19:m48n729-s522,315
otu-20:m48n729-s522,otu-20:m48n729-s522,272
otu-21:m48n729-s522,otu-21:m48n729-s522,323
otu-25:m48n729-s522,otu-25:m48n729-s522,236
otu-26:m48n729-s522,otu-26:m48n729-s522,193
otu-27:m48n729-s522,otu-27:m48n729-s522,196
otu-28:m48n729-s522,otu-28:m48n729-s522,127
otu-30:m22n729-s522,otu-30:m48n729-s522,12
